date;water_level
2017-03-14 15:00:00;0.43
2017-03-14 16:00:00;0.43
2017-03-18 18:00:00;0.42
2017-03-23 22:00:00;0.4
2017-03-23 23:00:00;0.42
2017-03-24 00:00:00;0.41
2017-03-24 01:00:00;0.47
2017-03-25 00:00:00;0.41
2017-03-25 01:00:00;0.39
2017-03-25 02:00:00;0.39
2017-03-25 03:00:00;0.46
2017-03-27 02:00:00;0.42
2017-04-14 16:00:00;0.45
2017-04-25 02:00:00;0.43
2017-04-25 13:00:00;0.37
2017-04-25 14:00:00;0.39
2017-04-25 15:00:00;0.46
2017-04-26 13:00:00;0.37
2017-04-26 14:00:00;0.32
2017-04-26 15:00:00;0.32
2017-04-26 16:00:00;0.43
2017-04-27 14:00:00;0.4
2017-04-27 15:00:00;0.38
2017-04-27 16:00:00;0.34
2017-04-27 17:00:00;0.45
2017-04-28 14:00:00;0.4
2017-04-28 15:00:00;0.28
2017-04-28 16:00:00;0.2
2017-04-28 17:00:00;0.23
2017-04-28 18:00:00;0.42
2017-04-29 15:00:00;0.45
2017-04-29 16:00:00;0.3
2017-04-29 17:00:00;0.27
2017-04-29 18:00:00;0.47
2017-04-29 19:00:00;0.43
2017-04-30 16:00:00;0.38
2017-04-30 17:00:00;0.34
2017-04-30 18:00:00;0.27
2017-04-30 19:00:00;0.3
2017-04-30 20:00:00;0.38
2017-05-01 17:00:00;0.43
2017-05-01 18:00:00;0.34
2017-05-01 19:00:00;0.21
2017-05-01 20:00:00;0.3
2017-05-01 21:00:00;0.4
2017-05-02 20:00:00;0.45
2017-05-10 15:00:00;0.47
2017-05-11 15:00:00;0.45
2017-05-12 17:00:00;0.47
2017-05-25 13:00:00;0.43
2017-05-25 14:00:00;0.33
2017-05-25 15:00:00;0.36
2017-05-25 16:00:00;0.41
2017-05-26 15:00:00;0.34
2017-05-26 16:00:00;0.45
2017-05-27 15:00:00;0.43
2017-05-27 16:00:00;0.37
2017-05-27 17:00:00;0.41
2017-05-28 15:00:00;0.46
2017-05-28 16:00:00;0.41
2017-05-28 17:00:00;0.33
2017-05-28 18:00:00;0.41
2017-05-29 16:00:00;0.43
2017-05-29 17:00:00;0.38
2017-05-29 18:00:00;0.3
2017-05-29 19:00:00;0.38
2017-05-30 17:00:00;0.46
2017-05-30 18:00:00;0.4
2017-05-30 19:00:00;0.37
2017-05-30 20:00:00;0.44
2017-06-09 15:00:00;0.47
2017-06-10 14:00:00;0.47
2017-06-10 15:00:00;0.37
2017-06-10 16:00:00;0.33
